iter	Passed	Remaining
0	3	3552
1	6	3446
2	10	3425
3	14	3593
4	18	3635
5	22	3667
6	25	3658
7	29	3627
8	32	3567
9	35	3533
10	38	3486
11	42	3461
12	45	3443
13	48	3411
14	51	3374
15	54	3338
16	57	3299
17	60	3273
18	62	3242
19	65	3222
20	68	3205
21	71	3194
22	74	3167
23	77	3143
24	80	3123
25	82	3097
26	85	3080
27	88	3082
28	92	3087
29	95	3079
30	98	3066
31	101	3058
32	103	3042
33	106	3025
34	109	3009
35	111	2994
36	114	2979
37	117	2981
38	120	2977
39	123	2968
40	126	2955
41	129	2943
42	131	2930
43	134	2917
44	136	2907
45	139	2902
46	143	2899
47	146	2913
48	149	2904
49	152	2902
50	155	2892
51	158	2882
52	160	2870
53	163	2862
54	166	2852
55	168	2844
56	171	2837
57	174	2827
58	176	2820
59	179	2814
60	182	2807
61	185	2800
62	187	2795
63	190	2788
64	193	2782
65	196	2775
66	198	2768
67	201	2762
68	204	2754
69	206	2749
70	209	2743
71	212	2736
72	214	2729
73	217	2723
74	220	2716
75	223	2712
76	226	2711
77	228	2704
78	231	2698
79	234	2692
80	236	2686
81	239	2681
82	242	2676
83	244	2670
84	247	2665
85	250	2659
86	252	2654
87	255	2651
88	258	2647
89	261	2642
90	263	2636
91	266	2631
92	269	2625
93	272	2622
94	274	2617
95	277	2612
96	280	2608
97	282	2603
98	285	2600
99	288	2595
100	291	2591
101	293	2586
102	296	2581
103	299	2577
104	302	2575
105	304	2570
106	307	2565
107	309	2560
108	312	2556
109	315	2551
110	318	2548
111	320	2544
112	323	2540
113	326	2536
114	329	2532
115	332	2531
116	335	2530
117	337	2525
118	340	2521
119	343	2517
120	345	2513
121	349	2513
122	351	2509
123	354	2505
124	357	2500
125	359	2496
126	362	2492
127	365	2488
128	368	2485
129	370	2481
130	373	2477
131	376	2474
132	379	2470
133	381	2466
134	384	2462
135	386	2458
136	389	2455
137	392	2451
138	395	2450
139	398	2447
140	401	2443
141	404	2441
142	406	2437
143	409	2434
144	412	2430
145	414	2427
146	417	2423
147	420	2419
148	422	2415
149	425	2412
150	428	2408
151	431	2405
152	433	2401
153	436	2397
154	439	2393
155	441	2391
156	444	2388
157	447	2383
158	450	2380
159	452	2376
160	455	2373
161	458	2370
162	460	2366
163	463	2362
164	466	2359
165	468	2355
166	471	2352
167	474	2348
168	476	2344
169	479	2340
170	482	2337
171	484	2334
172	487	2330
173	490	2327
174	493	2324
175	495	2320
176	498	2317
177	501	2314
178	503	2311
179	506	2308
180	509	2304
181	511	2300
182	514	2297
183	517	2294
184	519	2290
185	522	2287
186	525	2283
187	527	2279
188	530	2276
189	533	2274
190	536	2271
191	539	2268
192	541	2265
193	544	2261
194	547	2259
195	550	2257
196	552	2253
197	555	2250
198	558	2247
199	561	2246
200	564	2244
201	567	2242
202	570	2238
203	572	2235
204	575	2232
205	578	2229
206	581	2226
207	583	2223
208	586	2220
209	589	2216
210	591	2213
211	594	2210
212	597	2206
213	599	2203
214	602	2199
215	605	2196
216	607	2193
217	610	2190
218	613	2187
219	615	2183
220	618	2180
221	621	2177
222	624	2174
223	626	2171
224	629	2169
225	640	2192
226	643	2189
227	646	2187
228	649	2186
229	652	2185
230	655	2183
231	659	2183
232	662	2182
233	666	2181
234	669	2180
235	673	2179
236	676	2178
237	679	2176
238	683	2175
239	686	2172
240	689	2170
241	691	2167
242	694	2164
243	697	2162
244	700	2159
245	703	2156
246	706	2153
247	709	2150
248	711	2147
249	714	2143
250	717	2139
251	719	2136
252	722	2133
253	725	2130
254	727	2126
